ID		name		RA		Declination	Gal_l	Gal_b	R_sun	R_gc	X	Y	Z
NGC6093		M80		16 17 02.41	-22 58 33.9	352.67	19.46	10	3.8	9.4	-1.2	3.3
NGC6101		none		16 25 48.12	-72 12 07.9	317.74	-15.82	15.4	11.2	11	-10	-4.2
NGC6121		M4		16 23 35.22	-26 31 32.7	350.97	15.97	2.2	5.9	2.1	-0.3	0.6
NGC6139		none		16 27 40.37	-38 50 55.5	342.37	6.94	10.1	3.6	9.6	-3	1.2
NGC6144		none		16 27 13.86	-26 01 24.6	351.93	15.7	8.9	2.7	8.5	-1.2	2.4
NGC6171		M107		16 32 31.86	-13 03 13.6	3.37	23.01	6.4	3.3	5.9	0.3	2.5
NGC6205		M13		16 41 41.24	+36 27 35.5	59.01	40.91	7.1	8.4	2.8	4.6	4.7
NGC6218		M12		16 47 14.18	-01 56 54.7	15.72	26.31	4.8	4.5	4.2	1.2	2.1
NGC6229		none		16 46 58.79	+47 31 39.9	73.64	40.31	30.5	29.8	6.5	22.3	19.7
NGC6235		none		16 53 25.31	-22 10 38.8	358.92	13.52	11.5	4.2	11.2	-0.2	2.7
NGC6254		M10		16 57 09.05	-04 06 01.1	15.14	23.08	4.4	4.6	3.9	1.1	1.7
NGC6256		none		16 59 32.62	-37 07 17.0	347.79	3.31	10.3	3	10	-2.2	0.6
NGC6266		M62		17 01 12.80	-30 06 49.4	353.57	7.32	6.8	1.7	6.7	-0.8	0.9
NGC6273		M19		17 02 37.80	-26 16 04.7	356.87	9.38	8.8	1.7	8.7	-0.5	1.4
NGC6284		none		17 04 28.51	-24 45 53.5	358.35	9.94	15.3	7.5	15	-0.4	2.6
NGC6287		none		17 05 09.13	-22 42 30.1	0.13	11.02	9.4	2.1	9.2	0	1.8
NGC6293		none		17 10 10.20	-26 34 55.5	357.62	7.83	9.5	1.9	9.4	-0.4	1.3
NGC6304		none		17 14 32.25	-29 27 43.3	355.83	5.38	5.9	2.3	5.8	-0.4	0.6
NGC6316		none		17 16 37.30	-28 08 24.4	357.18	5.76	10.4	2.6	10.4	-0.5	1
NGC6325		none		17 17 59.21	-23 45 57.6	0.97	8	7.8	1.1	7.7	0.1	1.1
NGC6333		M9		17 19 11.26	-18 30 57.4	5.54	10.71	7.9	1.7	7.7	0.7	1.5
NGC6341		M92		17 17 07.39	+43 08 09.4	68.34	34.86	8.3	9.6	2.5	6.3	4.7
NGC6342		none		17 21 10.08	-19 35 14.7	4.9	9.72	8.5	1.7	8.4	0.7	1.4
NGC6352		none		17 25 29.11	-48 25 19.8	341.42	-7.17	5.6	3.3	5.3	-1.8	-0.7
NGC6355		none		17 23 58.59	-26 21 12.3	359.59	5.43	9.2	1.4	9.2	-0.1	0.9
NGC6356		none		17 23 34.93	-17 48 46.9	6.72	10.22	15.1	7.5	14.7	1.7	2.7
NGC6362		none		17 31 54.99	-67 02 54.0	325.55	-17.57	7.6	5.1	6	-4.1	-2.3
NGC6366		none		17 27 44.24	-05 04 47.5	18.41	16.04	3.5	5	3.2	1.1	1
